legal_name,city,county,state,zip,vertical,naics_code,owner_name,owner_age_estimate,owner_age_source,years_in_business,year_established,employee_count_estimate,entity_status,is_distressed,distress_reasons,website,phone,iso_9001,as9100,itar_registered,api_certifications,score_run_id,layer1_base_rate,layer2_sellability,layer3_behavioral_trigger,layer4_market_pull,final_score,final_tier,confidence,data_completeness,deep_dive_pending
Reliable Machinists Corporation,Houston,Harris,TX,77066,cnc_machine_shop,332710,Chung Nguyen (founder),70,career_tenure_proxy_fmc_1976_plus_50yr_master,45,1981,18,unknown_not_verified,False,,https://www.rmcreliablemachinists.com/,(281) 444-2181,False,False,False,API 6A; API 17D,becddbcf-bcef-4bb1-80b9-95fed0635545,96,70,88,90,86,A_acquire_self,medium,0.7,True
H&W Manufacturing,Spring,Harris,TX,77389,cnc_machine_shop,332710,,70,founder_age_proxy_48yr_tenure,48,1978,22,unknown_not_verified,False,,https://www.hwmfg.com/,(281) 353-9079,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,96,70,88,90,86,A_acquire_self,medium,0.65,True
Halsey Manufacturing,Denton,Denton,TX,76208,cnc_machine_shop,332710,Don Halsey (Founder + CEO),72,UNT_production_management_grad_plus_47yr_tenure,47,1979,25,Active,False,,https://www.halseymfg.com,(940) 566-3306,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,96,70,88,88,86,A_acquire_self,medium-high,0.8,True
"Westfield Machine, Inc.",Houston,Harris,TX,77093,cnc_machine_shop,332710,,68,founder_1982_44yr_tenure_proxy,44,1982,30,Active_presumed,False,,https://www.westfieldmachine.com/,(281) 442-0362,True,True,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,96,85,67,90,84,A_acquire_self,medium-high,0.75,True
"Bates Machine & Mfg., Inc.",Farmersville,Collin,TX,75442,cnc_machine_shop,332710,"Paul Bates & Mary Kaye Wilson (2nd gen, children of founder Earl Bates Jr. who lived 1922-2019)",65,founder_succession_proxy_earl_bates_jr_died_2019_children_inherited,51,1975,12,Active,False,,https://batesmachineonline.com,(972) 782-7351,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,86,70,88,88,83,A_acquire_self,medium-high,0.78,True
"Precision Enterprise, Inc.",Woodville,Tyler,TX,75979,cnc_machine_shop,332710,,72,founder_age_proxy_59yr_tenure_implies_2nd_3rd_gen,59,1967,12,unknown_not_verified,False,,https://www.precisionent.net/,(409) 283-8163,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,96,70,88,55,81,A_acquire_self,medium,0.7,True
Starke Machine Co.,Fort Worth,Tarrant,TX,76106,cnc_machine_shop,332710,Owner name not publicly disclosed (Dwayne Burgamy appears on LinkedIn as Starke leadership — role unconfirmed),65,founding_year_proxy_1980_founder_likely_70s,46,1980,65,Active,False,,https://www.starkemachine.com,(817) 625-6821,True,True,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,86,85,67,88,80,A_acquire_self,medium,0.7,True
"Ed's Precision Manufacturing, LLC",Houston,Harris,TX,77041,cnc_machine_shop,332710,Ed (implied founder name from company name),68,founder_named_after_owner_typical_machinist_journey_implies_age,39,1987,18,unknown_not_verified,False,,https://edsprecision.com/,(713) 956-1112,True,False,True,EJCP; CMMC Level-1,becddbcf-bcef-4bb1-80b9-95fed0635545,96,80,88,90,89,B_forward,low-medium,0.55,False
Rockwell Precision,Houston,Harris,TX,77064,cnc_machine_shop,332710,"Dan Cotrino (named contact, title unclear)",65,founder_age_proxy_47yr_tenure_typical_2nd_gen,47,1979,20,unknown_not_verified,False,,https://rockwellprecision.com/,(281) 890-9331,True,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,86,75,88,90,84,B_forward,low-medium,0.55,False
United Machine Works,New Waverly,Walker,TX,77358,cnc_machine_shop,332710,,72,founder_age_proxy_54yr_tenure_2nd_gen_likely_late_60s_to_70s,54,1972,30,unknown_not_verified,False,,https://umwtexas.com/,(936) 344-6115,True,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,96,75,67,90,81,B_forward,low-medium,0.55,False
ALPA Precision L.L.P,Houston,Harris,TX,77055,cnc_machine_shop,332710,,68,founder_1981_proxy_45yr_tenure,45,1981,20,Active_presumed,False,,https://www.alpaprecision.com/,(713) 680-8556,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,96,70,67,90,80,B_forward,low-medium,0.5,False
Knox Machine Co Inc.,Fort Worth,Tarrant,TX,76140,cnc_machine_shop,332710,,,multi_generation_likely_2nd_or_3rd_gen,61,1965,15,Active_presumed,False,NOTE: enrichment flagged is_distressed=true but notes describe textbook coasting/ETA profile — reclassified as coasting_heavy with confidence cap,,,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,74,70,88,88,79,B_forward,low-medium,0.45,False
"Texas Toolmakers, Inc.",San Antonio,Bexar,TX,78216,cnc_machine_shop,332710,,72,founder_1977_proxy_49yr_tenure,49,1977,40,Active_presumed,False,,https://www.txtoolmakers.com/,(210) 494-3651,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,96,70,67,78,78,B_forward,low-medium,0.55,False
Lewis Engineering Co.,Marshall,Harrison,TX,75670,cnc_machine_shop,332710,,70,founder_age_proxy_65yr_tenure_2nd_or_3rd_gen,65,1961,35,unknown_not_verified,False,,https://lewisengineeringco.com/,(903) 938-6754,True,False,True,PRI Programs Accredited,becddbcf-bcef-4bb1-80b9-95fed0635545,96,80,67,55,77,B_forward,medium,0.6,False
"Manda Machine Company, Inc.",Dallas,Dallas,TX,75220,cnc_machine_shop,332710,"Andy Ellard (GM/Owner, 33-yr tenure) + Todd Ellard (Operations Mgr/Owner, 38-yr tenure) — 3rd gen, grandchildren of founders Joe & Mary Manda",60,38yr_industry_tenure_+_3rd_gen_proxy,76,1950,30,Active,False,,https://mandamachine.com,(214) 352-5946,True,True,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,70,85,67,88,76,B_forward,medium-high,0.85,False
"Maximum Industries, Inc.",Irving,Dallas,TX,75038,cnc_machine_shop,332710,Owner name not publicly disclosed,60,founding_year_proxy_1996,30,1996,45,Active,False,,https://www.maximumind.com,(972) 501-9990,True,True,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,70,85,67,88,76,B_forward,medium,0.6,False
"FERPA Precision Machine, Inc.",Houston,Harris,TX,77067,cnc_machine_shop,332710,Antonio Patino,68,founder_1990_proxy_36yr_tenure,36,1990,25,Active_presumed,False,,https://ferpa-pmi.com/,(281) 874-9747,True,True,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,96,85,42,90,76,B_forward,medium-high,0.75,False
Midway Machine & Instrument Company,South Houston,Harris,TX,77587,cnc_machine_shop,332710,,65,44yr_tenure_implies_founder_or_2nd_gen_at_60s,44,1982,20,unknown_not_verified,False,,https://midway-machine.com/,(713) 947-1102,True,True,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,86,85,42,90,73,B_forward,medium,0.7,False
C & F Tool & Die Co.,San Antonio,Bexar,TX,78238,cnc_machine_shop,332710,"Steve Collier (founder), Robert Collier (brother / partner)",65,founder_1986_garage_start_40yr_tenure_proxy,40,1986,30,Active_presumed,False,,https://c-ftool.com/,(210) 522-9310,True,True,True,,becddbcf-bcef-4bb1-80b9-95fed0635545,86,90,42,78,73,B_forward,medium-high,0.8,False
"Snoe Inc., Machining and Welding",Caldwell,Burleson,TX,77836,cnc_machine_shop,332710,,70,founder_age_proxy_47yr_tenure_implies_late_60s_to_70s,47,1979,80,unknown_not_verified,False,,https://www.snoeinc.com/,(979) 567-0808,True,True,True,DDTC; JCP,becddbcf-bcef-4bb1-80b9-95fed0635545,96,90,42,55,72,B_forward,medium,0.7,False
Continental Manufacturing,Dallas,Dallas,TX,75208,cnc_machine_shop,332710,"Judd Stretcher (President of parent Continental NH3 Products — 3rd gen). Founders: 'Doc' Eldon (grandfather) → David Ward (father, 2nd gen) → Judd Stretcher (3rd gen, current).",55,3rd_gen_succession_proxy,72,1954,35,Active,False,,https://www.continental-manufacturing.com,(800) 537-5642,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,51,70,88,88,72,B_forward,medium-high,0.78,False
"Mills Machine Shop Operating Services, Inc.",Ponder,Denton,TX,76259,cnc_machine_shop,332710,"Eddie Mills (Owner) + Linda Mills (Owner) — founders, husband-and-wife co-ownership",62,eddie_started_1982_machining_+_shop_foreman_1986_+_founded_1994_=_age_~62_now,32,1994,12,Active,False,,https://millsmachineshop.com,(940) 390-8655,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,70,70,67,88,72,B_forward,medium-high,0.88,False
S.T.B. Machine Works,Houston,Harris,TX,77091,cnc_machine_shop,332710,,67,founder_age_proxy_46yr_tenure_implies_late_60s,46,1980,12,unknown_not_verified,False,,https://stbmachinework.com/,(713) 910-9991,True,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,86,75,42,90,71,B_forward,medium,0.7,False
"Gulf Coast Repair & Machine Shop, Inc.",Corpus Christi,Nueces,TX,78409,cnc_machine_shop,332710,,62,founder_age_proxy_1989_garage_start,37,1989,25,Active_presumed,False,,https://www.gulfcoastrepair.com/,(361) 289-1273,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,70,70,67,70,69,B_forward,low-medium,0.55,False
Roden's All-Star Machine & Manufacturing Incorporated,Fort Worth,Tarrant,TX,,cnc_machine_shop,332710,Tommy Roden (founder) + three sons,78,machining_career_1965_general_dynamics_proxy,26,2000,65,Active_presumed,False,,https://www.rodensallstar.com/,,True,True,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,96,85,20,88,69,B_forward,medium-high,0.85,False
Anthony Machine,San Antonio,Bexar,TX,78201,cnc_machine_shop,332710,,,multi_generation_likely_3rd_or_4th_gen,80,1946,35,Active_presumed,False,,https://www.anthonymachine.com/,(210) 734-5121,True,True,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,74,85,42,78,68,B_forward,medium,0.7,False
C & M Machining LP,Navasota,Grimes,TX,77868,cnc_machine_shop,332710,,60,founder_age_proxy_30yr_tenure_family_owned,30,,25,unknown_not_verified,False,,https://www.candmmachining.com/,(936) 825-0484,True,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,70,75,67,50,67,B_forward,medium,0.65,False
A & A Machine & Fabrication LLC,La Marque,Galveston,TX,77568,cnc_machine_shop,332710,,,not_found_likely_2nd_3rd_gen,69,1957,80,unknown_not_verified,False,,https://aagroup.com/,(409) 938-4274,False,False,False,ASME; CE PED; China D License; A6; KGS,becddbcf-bcef-4bb1-80b9-95fed0635545,74,70,42,90,66,B_forward,low-medium,0.55,False
"Cameron Machine Shop, Inc.",Richardson,Dallas,TX,75081,cnc_machine_shop,332710,"Christi Cameron (President, 3rd gen; daughter of Pat Cameron). Founders: Porter Cameron + son Pat Cameron in 1967.",55,took_over_2007_implies_~35yo_then_=_2026_age_~54,59,1967,25,Active,False,,https://cameronmachineshop.com,,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,51,70,67,88,66,B_forward,medium-high,0.85,False
"FTC Industries, Inc.",Arlington,Tarrant,TX,76011,cnc_machine_shop,332710,"Rick Flores (CEO, key principal)",60,founded_1997_proxy_+_ceo_principal_29yr_tenure,29,1997,50,Active,False,,https://ftcindustries.com,(817) 385-0021,True,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,70,75,42,88,66,B_forward,medium-high,0.78,False
"Custom Components & Assemblies, Inc.",Houston,Harris,TX,77086,cnc_machine_shop,332710,,60,founder_1995_proxy,31,1995,25,Active_presumed,False,,https://customcomponentsinc.com/,(713) 937-6225,True,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,70,75,42,90,66,B_forward,low-medium,0.55,False
"Maddox Metal Works, Inc.",Dallas,Dallas,TX,75237,cnc_machine_shop,332710,Sam Maddox (founder; current ownership unknown),,multi_generation_likely,74,1952,50,Active_presumed,False,NOTE: enrichment flagged is_distressed=true but notes describe textbook coasting/ETA profile — reclassified as coasting_heavy with confidence cap,http://www.maddoxmetalworks.com/,,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,74,70,42,88,66,B_forward,low-medium,0.55,False
"A.R. Machining, Inc.",Hutto,Williamson,TX,78634,cnc_machine_shop,332710,"Anthony Dobias (owner) + Matthew Dobias (part-owner, son of founder) — 2nd gen family-owned with siblings active. Founders: Dobias' father + uncle (1979, Manor TX origin).",60,2nd_gen_succession_proxy_+_47yr_tenure,47,1979,20,Active,False,,https://www.armachining.com,(512) 759-2003,True,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,70,75,42,82,65,B_forward,medium-high,0.82,False
B&R Productions,New Waverly,Walker,TX,77358,cnc_machine_shop,332710,,,not_found,32,1994,35,unknown_not_verified,False,,https://bandrproduction.com/,(936) 291-7827,True,True,False,API 6A,becddbcf-bcef-4bb1-80b9-95fed0635545,29,85,67,90,64,B_forward,medium,0.65,False
"H&H Precision Machining, Inc.",Decatur,Wise,TX,76234,cnc_machine_shop,332710,Phillip Holt,60,founder_2000_with_prior_career_proxy,26,2000,15,Active_presumed,False,,https://hhprecisionmachining.com/,(817) 360-1694,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,70,70,42,88,64,B_forward,medium,0.65,False
"Camargo Custom (Camargo's Custom Machine & Welding, Inc.)",Converse,Bexar,TX,78109,cnc_machine_shop,332710,"Eduardo Camargo (President) + Maria Camargo (Director/Owner; woman-owned). Family also includes Agustin Camargo, Eduardo Adrian Camargo, Agustin Camargo Jr. (2nd gen).",55,founded_2006_with_combined_100yr_team_experience_=_mature_founders,20,2006,10,Active,False,,https://www.camargocustom.com,(210) 385-3754,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,47,70,67,78,63,B_forward,medium-high,0.75,False
"Central Texas Machining, LP",,,TX,,cnc_machine_shop,332710,Rick Sacket and Paul Sacket,63,1989_machining_career_start_proxy,26,2000,10,Active_presumed,False,,https://ctxmachining.com/,,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,86,70,42,50,63,B_forward,medium,0.6,False
Metal Machining Technology,Houston,Harris,TX,77066,cnc_machine_shop,332710,,55,founder_2008_plus_35yr_experience_proxy,18,2008,6,Active_presumed,False,,https://metalmachiningtech.com/,(713) 855-5065,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,47,62,67,90,63,B_forward,low,0.35,False
Osborn Technical Services,Pinehurst,Montgomery,TX,77362,cnc_machine_shop,332710,Vernon Osborn,67,founder_2002_with_50yr_combined_experience_proxy,24,2002,18,Active_presumed,False,,https://osbornts.com/,(281) 356-3906,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,82,70,20,90,62,B_forward,medium,0.65,False
EMD,Houston,Harris,TX,77040,cnc_machine_shop,332710,,,30yr_industry_tenure_implies_late_50s_owner,30,,15,unknown_not_verified,False,,https://emd-usa.com/,(713) 849-2523,True,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,29,75,67,90,61,B_forward,low,0.4,False
Waggoner Manufacturing Inc.,Round Rock,Williamson,TX,78665,cnc_machine_shop,332710,"Danton Waggoner (President, 3rd gen). Founder: Pat Waggoner (1979, garage origin serving Eaton Manufacturing/Austin semicon). 2nd gen: founder's son(s).",48,3rd_gen_active_proxy,47,1979,30,Active,False,,https://waggonermanufacturing.com,(512) 255-8571,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,29,70,67,82,59,C_watch,medium-high,0.85,False
Austin Precision Machining and Manufacturing (APMM),Pflugerville,Travis,TX,78660,cnc_machine_shop,332710,"Tensay Johnson (Founder, 19+ yr operator)",50,founded_2007_at_~30yo_proxy_=_~50_now,19,2007,10,Active,False,,https://austinprecisionmachining.com,(512) 337-6598,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,70,67,82,57,C_watch,low-medium,0.55,False
KALCO Machine & Manufacturing,Wichita Falls,Wichita,TX,,cnc_machine_shop,332710,,55,founded_1998_as_three_man_team_proxy,28,1998,80,Active_presumed,False,,https://kalcomachine.com/,(940) 761-5050,True,True,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,51,85,42,50,57,C_watch,low-medium,0.55,False
JB Machine LLC,San Antonio,Bexar,TX,,cnc_machine_shop,332710,Jarid (last name not disclosed publicly; referenced in customer testimonials as owner),50,founder_active_26yr_proxy,26,2000,8,Active,False,,https://jb-machine.com,,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,29,62,67,78,56,C_watch,low-medium,0.45,False
JY's Extreme Machine LLC,Burleson,Johnson,TX,76028,cnc_machine_shop,332710,Jason Yeates (JY) — Founder/Owner/Operator,50,founded_2005_+_35yr_combined_team_cnc_experience_proxy,21,2005,5,Active,False,,https://jysextrememachine.com,(817) 295-1313,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,62,67,88,56,C_watch,medium-high,0.78,False
MSM Machine Works,Houston,Harris,TX,77015,cnc_machine_shop,332710,,,not_found,,,12,unknown_not_verified,False,,https://msmmachine.com/,(713) 636-9535,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,55,88,90,55,C_watch,low,0.4,False
Alloy CNC Inc,Conroe,Montgomery,TX,,cnc_machine_shop,332710,,,not_found,,,75,unknown_not_verified,False,,https://alloycnc.com/,(936) 449-4001,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,55,67,90,55,C_watch,low,0.4,False
"Precision Machining Company, LLC",Fort Worth,Tarrant,TX,76140,cnc_machine_shop,332710,Owner name not publicly disclosed; 3rd-generation family-owned per company self-description,50,3rd_gen_active_proxy,,,15,Active,False,,https://www.precisionmachiningtexas.com,(682) 373-4775,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,55,67,88,55,C_watch,low-medium,0.45,False
Pearland Precision,Pearland,Brazoria,TX,77581,cnc_machine_shop,332710,Chad (last name not disclosed),55,30plus_years_experience_proxy,,,5,Active_presumed,False,,https://pearlandprecision.com/,(713) 962-0901,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,47,45,67,90,55,C_watch,low,0.35,False
Meyer Enterprises,Denton,Denton,TX,,cnc_machine_shop,332710,,67,angelfire_era_web_proxy,,,3,Active_presumed,False,NOTE: enrichment flagged is_distressed=true but notes describe textbook coasting/ETA profile — reclassified as coasting_heavy with confidence cap,https://www.angelfire.com/tx/fuelcarfan/meyer/main.html,,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,82,45,67,88,55,C_watch,low,0.35,False
Automatic Products Corporation (APC),Garland,Dallas,TX,75042,cnc_machine_shop,332710,"G. Christopher (Chris) Tedford — President since 2007 (3rd gen). Gary E. Tedford — Chairman (2nd gen, became Pres 1980). Founder: Charles E. Tedford (1957).",52,3rd_gen_succession_proxy_2007_handoff,69,1957,120,Active,False,,https://www.ap-corp.com,(972) 272-6422,False,True,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,29,80,42,88,54,C_watch,medium-high,0.88,False
EDM of Texas Manufacturing,Houston,Harris,TX,77073,cnc_machine_shop,332710,,,not_found,31,1995,10,unknown_not_verified,False,,https://www.edmoftexas.com/,(281) 697-1087,False,False,False,FDA-compatible docs; GMP; 3-A standards,becddbcf-bcef-4bb1-80b9-95fed0635545,29,70,42,90,52,C_watch,low-medium,0.5,False
Conroe Machine,Conroe,Montgomery,TX,77303,cnc_machine_shop,332710,,,not_found,26,2000,120,unknown_not_verified,False,,https://www.conroemachine.com/,(936) 494-2566,True,True,True,API Q1 (Q1-1922); API Spec 7-1 (7-1-0377); API Monogram (ISO-0250),becddbcf-bcef-4bb1-80b9-95fed0635545,29,95,20,90,52,C_watch,medium,0.6,False
"Transtar CNC Machine, LLC",Arlington,Tarrant,TX,76012,cnc_machine_shop,332710,Group of partners with 50+ yrs combined CNC experience (specific names not disclosed publicly),,unknown,,,12,Active,False,,https://www.transtarmachine.com,(682) 553-8602,True,True,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,70,42,88,51,C_watch,low-medium,0.5,False
"ABCD Precision, Inc.",Houston,Harris,TX,77041,cnc_machine_shop,332710,"Arnold Blanco, Corallo Daniel (co-founders)",55,founder_named_2012_with_experienced_machinist_prior_career,14,2012,8,unknown_not_verified,False,,https://abcdprecision.com/,(832) 230-5729,True,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,47,67,20,90,50,C_watch,low-medium,0.5,False
"Centerline Manufacturing, LTD.",Houston,Harris,TX,77041,cnc_machine_shop,332710,,,not_found,21,2005,18,unknown_not_verified,False,,https://centerlinemanufacturingltd.com/,(713) 329-9070,True,True,True,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,90,20,90,50,C_watch,low-medium,0.55,False
"American Valmark, Inc.",Spicewood,Travis,TX,78669,cnc_machine_shop,332710,Rachel Prevost (President),48,founded_~20yo_ago_+_president_tenure_proxy,21,2005,15,Active,False,,https://texascncmachining.com,(512) 264-0686,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,70,42,82,50,C_watch,medium,0.65,False
"Bryli, Inc.",,,TX,,cnc_machine_shop,332710,,55,founder_2001_proxy,25,2001,25,Active_presumed,False,,https://www.bryli.com/,,True,True,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,51,85,20,50,50,C_watch,low,0.4,False
"Cutting Source Precision, Inc.",Houston,Harris,TX,77041,cnc_machine_shop,332710,,,not_found,26,2000,15,unknown_not_verified,False,,https://cspmachine.com/,(281) 859-2900,True,False,False,ISO/TS 29001:2010; ASME NQA-1,becddbcf-bcef-4bb1-80b9-95fed0635545,29,75,20,90,47,C_watch,low-medium,0.55,False
Mitchell Crane,Bryan,Brazos,TX,77808,cnc_machine_shop,332710,,,not_found,40,,100,unknown_not_verified,False,,https://www.mitchellcrane.com/,(800) 826-5612,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,54,70,20,50,47,C_watch,low-medium,0.45,False
Leverage Mechanical Services,Baytown,Harris,TX,77521,cnc_machine_shop,332710,,,unknown,,,25,Active_presumed,False,,https://leveragemechanicalservices.com/,(281) 947-5512,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,55,42,90,47,C_watch,low,0.3,False
Mann Made Industries / G01 Enterprises Inc.,Dallas,Dallas,TX,,cnc_machine_shop,332710,,,unknown,,,20,Active_presumed,False,,https://www.mannmadeinc.com/,,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,55,42,88,47,C_watch,low,0.3,False
RBR Machine,Houston,Harris,TX,,cnc_machine_shop,332710,,,not_found,,,25,unknown_not_verified,False,,https://www.rbrmachine.com/,(281) 469-6400,True,True,True,API threading,becddbcf-bcef-4bb1-80b9-95fed0635545,25,75,20,90,46,C_watch,medium,0.6,False
TXSwiss,Conroe,Montgomery,TX,77301,cnc_machine_shop,332710,,,20yr_tenure_implies_late_50s_owner,20,,20,unknown_not_verified,False,,https://txswiss.com/,(866) 897-9477,True,False,False,AGS; AIAO-BAR,becddbcf-bcef-4bb1-80b9-95fed0635545,25,75,20,90,46,C_watch,low-medium,0.5,False
Dallas Precision Machining (DPM),Carrollton,Dallas,TX,75006,cnc_machine_shop,332710,Sister company of Pacific Sensor LLC (Carrollton TX). William Ritter listed as VP of Pacific Sensor — likely same-ownership structure. No DPM-specific founder disclosed.,,unknown,,,20,Active,False,,https://dallasprecisionmachining.com,(469) 588-3788,True,True,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,70,20,88,44,D_pass,low-medium,0.55,False
Garland Service Company (GSC),Garland,Dallas,TX,75042,cnc_machine_shop,332710,Owner name not publicly disclosed,,unknown,,,35,Active,False,,https://www.gscusa.net,(972) 494-1911,True,True,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,70,20,88,44,D_pass,low-medium,0.55,False
Saga Machine Co.,Denton,Denton,TX,76205,cnc_machine_shop,332710,,,unknown,,,10,Active_presumed,False,,https://sagamachineco.com/,(940) 323-1256,False,True,True,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,70,20,88,44,D_pass,low-medium,0.45,False
"U.C. Precision, Inc.",Houston,Harris,TX,77095,cnc_machine_shop,332710,,,not_found,,,10,unknown_not_verified,False,,https://ucprecisioninc.com/,(281) 529-6912,True,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,60,20,90,42,D_pass,low-medium,0.55,False
Turbine Component Repair Inc.,Houston,Harris,TX,77018,cnc_machine_shop,332710,,,not_found,,,15,unknown_not_verified,False,,https://www.tcrhouston.com/,(713) 895-9551,True,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,60,20,90,42,D_pass,low-medium,0.45,False
Tool Tech Machining & Sheet Metal,Beaumont area,Jefferson,TX,,cnc_machine_shop,332710,,,unknown,,,20,Active_presumed,False,,https://www.tooltechmachining.com/,(409) 840-5650,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,55,42,55,42,D_pass,low,0.3,False
Texas Contract Manufacturing Group (TCMG),Austin,Travis,TX,78746,cnc_machine_shop,332710,EXCLUDED — multi-subsidiary group (Apex Machining + IMT Precision + Lor-Van + Unitech Tool & Machine + Weiser Engineering),,n/a,,,,Active,False,,https://www.tcmgco.com,,True,True,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,60,20,82,41,D_pass,low,0.2,False
OEM Machining,League City,Galveston,TX,77573,cnc_machine_shop,332710,,,unknown,,,8,Active_presumed,False,,https://www.oemmachining.com/,(281) 724-1068,True,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,50,20,90,40,D_pass,low,0.4,False
"MIC-ALL Machining, Inc.",Burton,Washington,TX,77835,cnc_machine_shop,332710,Leslie Little (President per testimonials),,unverified,,,8,unknown_not_verified,False,,https://micallmachining.com/,(979) 830-8558,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,45,42,50,39,D_pass,low-medium,0.55,False
Ultimate Precision Tech,Houston,Harris,TX,,cnc_machine_shop,332710,Long Tao,45,ceo_since_2019_proxy,7,2019,10,Active_presumed,False,,https://ultimateprecisiontechnology.com/,,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,18,55,20,90,39,D_pass,low,0.4,False
C & C Machining LLC,Fort Worth,Tarrant,TX,,cnc_machine_shop,332710,,,unknown,,,,Active_presumed,False,,,,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,45,20,88,38,D_pass,low,0.15,False
Wakeland Engineering PLLC,,,TX,,cnc_machine_shop,332710,,,unknown,,,5,Active_presumed,False,,,,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,45,20,50,32,D_pass,low,0.15,False
"Texas Machined Components, Inc.",,,TX,,cnc_machine_shop,332710,,,unknown,,,,Active_presumed,False,,,,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,45,20,50,32,D_pass,low,0.1,False
"Expert Tool & Machine, Inc.",,,TX,,cnc_machine_shop,332710,,,unknown,,,,Active_presumed,False,,http://www.etmusa.com,,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,45,20,50,32,D_pass,low,0.15,False
"New Braunfels Machine, Inc.",New Braunfels,Comal,TX,,cnc_machine_shop,332710,,,unknown,,,10,Active_presumed,True,,https://www.nbmachineinc.com/,,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,18,42,78,25,D_pass,low,0.25,False
"LSC Precision, Inc.",Krum,Denton,TX,,cnc_machine_shop,332710,,,unknown,,,5,Active_presumed,True,,,,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,18,20,88,25,D_pass,low,0.25,False
