legal_name,dba_name,city,county,zip,address,phone,website,owner_name,owner_age_estimate,owner_age_source,owner_tenure_years,years_in_business,provider_count_estimate,is_va_provider,is_distressed,distress_reasons,layer1_base_rate,layer1_comment,layer2_sellability,layer2_comment,layer3_behavioral_trigger,layer3_comment,layer4_market_pull,layer4_comment,final_score,final_tier,final_comment,value_add_thesis,confidence,data_completeness,credential
Allison Audiology & Hearing Aid Center PLLC,Allison Audiology,Houston,Harris,77079,12900 Queensbury Ln #100,(713) 827-1767,https://allisonaudiology.com,"Dr. Jana Emola-Austin, Au.D.",42,AuD_grad_estimate_UNT_2009,16,31,2,,False,,25,Owner age 42.,86,Multi-AuD 31yr practice.,42,"strong=0, mod=0, low=2 → score 42.",85,Hearing aid TX baseline — VA-adjacent metro,54,C_watch,L1=25/L2=86/L3=42/L4=85 → 54.,31-yr mature brand.,high,0.78,AuD
Oliveira Audiology & Hearing Center,Oliveira Audiology & Hearing Center,Laredo,Webb,78045,"7917 McPherson Road, Suite 207",(956) 727-3801,https://www.laredohearing.com,"Dr. Celina T. Oliveira, Au.D.",52,AuD_grad_year_proxy_estimate,18,18,2,,False,,25,Owner age 52.,86,Multi-AuD 18yr practice.,42,"strong=0, mod=1, low=0 → score 42.",80,Hearing aid TX baseline,54,C_watch,L1=25/L2=86/L3=42/L4=80 → 54.,standard hearing aid acquisition — modernize ops + add service lines.,medium,0.5,AuD
Holland Hearing Center,Holland Hearing Center,Abilene,Taylor,79606,7 Hospital Drive,(325) 437-4730,https://www.hollandhearing.com,"Dr. Kelsi Mangrem, Au.D., FAAA",48,2004_practice_founding_proxy,22,22,2,,False,,25,Owner age 48.,86,Multi-AuD 22yr practice.,42,"strong=0, mod=1, low=0 → score 42.",77,Hearing aid TX baseline — smaller TX metro,53,C_watch,L1=25/L2=86/L3=42/L4=77 → 53.,22-yr practice.,medium,0.5,AuD
"Cityview Audiology & Hearing Aids, Inc.",Cityview Audiology,Fort Worth,Tarrant,76132,"5701 Bryant Irvin Rd, Ste 202",(817) 900-8321,https://www.cityviewhearing.com,"Diane Blaising, Au.D., FAAA, ADA",58,FAAA_plus_ADA_certifications_indicate_mid_career_plus_AudigyCertified_legacy,,,,,False,,68,Owner age 58.,50,Years unknown.,22,"strong=0, mod=0, low=1 → score 22.",85,Hearing aid TX baseline — VA-adjacent metro,52,C_watch,L1=68/L2=50/L3=22/L4=85 → 52.,standard hearing aid acquisition — modernize ops + add service lines.,medium,0.65,"AuD, FAAA, ADA, Board-Certified"
"North Houston Hearing Solutions, LLC",North Houston Hearing Solutions,Spring,Harris,77379,"8515 Spring Cypress Rd, Ste 105",(281) 444-9800,https://northhoustonhearing.com,"Dr. Lacey Brooks, Au.D., CCC-A, FAAA",42,AuD_grad_2009_LinkedIn,10,22,1,,False,,25,Owner age 42.,74,Solo AuD 22yr — sellable.,42,"strong=0, mod=1, low=0 → score 42.",88,Hearing aid TX baseline — VA-adjacent metro; affluent suburban,52,C_watch,L1=25/L2=74/L3=42/L4=88 → 52.,22-yr practice.,high,0.55,"AuD, CCC-A, FAAA"
"Hear In Texas, Inc.",Hear In Texas,New Braunfels,Comal,78132,"2967 Oak Run Pkwy, Suite 315",(830) 360-2000,https://hearintx.com,"Dr. Celia I. Miranda, Au.D.",50,AuD_grad_year_proxy_estimate,15,15,1,True,False,,25,Owner age 50.,74,Solo AuD 15yr — sellable.,42,"strong=0, mod=1, low=0 → score 42.",85,Hearing aid TX baseline — Hill Country retiree corridor,51,C_watch,L1=25/L2=74/L3=42/L4=85 → 51.,VA Community Care contract — sticky federal recurring revenue.,medium,0.5,AuD
Clarity Hearing,Clarity Hearing,Conroe,Montgomery,77304,1020 Riverwood Ct #115,(936) 788-2212,https://hearingwithclarity.com,"Dr. Alix Kornegay, Au.D.; Dr. Scott Marquardt, Au.D.; Dr. Kim Marquardt, Au.D.",,unknown,,,9,,False,,25,Owner age unknown — weak proxy only.,50,Years unknown.,60,"strong=0, mod=2, low=1 → score 60.",80,Hearing aid TX baseline,50,C_watch,L1=25/L2=50/L3=60/L4=80 → 50.,4-location regional footprint scalable; modernize digital ops + add tinnitus/vestibular service lines.,medium,0.72,AuD
Trinity Hearing Healthcare,Trinity Hearing Healthcare,Dallas,Dallas,75234,"3128 Forest Lane, Suite #232 (Dallas); 3900 S Stonebridge Dr Suite #1002 (McKinney); 675 Town Square Blvd Suite #200 (Garland)",(214) 357-1144,https://www.trinityhearing.com,,,unknown,,,,,False,,25,Owner age unknown — weak proxy only.,50,Years unknown.,60,"strong=0, mod=2, low=1 → score 60.",80,Hearing aid TX baseline,50,C_watch,L1=25/L2=50/L3=60/L4=80 → 50.,3-location regional footprint scalable; modernize digital ops + add tinnitus/vestibular service lines.,low,0.55,AuD
"All About Ears, LLC",All About Ears,Beaumont,Jefferson,77706,Beaumont,,https://www.allaboutearsllc.com,"Dr. Leila Grant-Cleveland, Au.D.",42,founded_2016_AuD_grad_proxy,10,10,2,,False,,25,Owner age 42.,86,Multi-AuD 10yr practice.,22,"strong=0, mod=0, low=0 → score 22.",80,Hearing aid TX baseline,48,C_watch,L1=25/L2=86/L3=22/L4=80 → 48.,standard hearing aid acquisition — modernize ops + add service lines.,medium,0.5,AuD
"Carson Hearing Care, LLC",Carson Hearing Care,Fort Worth,Tarrant,76107,5104 Camp Bowie Blvd,(817) 813-1557,https://www.carsonhearing.com,"Dr. Robin Carson, Au.D., CCC-A",45,founded_2013_AuD_likely_pre_2010_grad,13,13,4,,False,,25,Owner age 45.,86,Multi-AuD 13yr practice.,22,"strong=0, mod=0, low=0 → score 22.",85,Hearing aid TX baseline — VA-adjacent metro,48,C_watch,L1=25/L2=86/L3=22/L4=85 → 48.,full-spectrum dispenser — upsell-ready.,high,0.8,"AuD, CCC-A"
Heights Audiology & Hearing Aids,Heights Audiology,Houston,Harris,77008,"427 W 20th St, Suite 205",(713) 863-0114,https://www.heightsaudiology.com,"Dr. Lacey Brooks, Au.D., CCC-A, FAAA",42,AuD_grad_2009_LinkedIn_BS_2003,17,30,2,,False,,25,Owner age 42.,86,Multi-AuD 30yr practice.,22,"strong=0, mod=0, low=1 → score 22.",85,Hearing aid TX baseline — VA-adjacent metro,48,C_watch,L1=25/L2=86/L3=22/L4=85 → 48.,30-yr mature brand.,high,0.82,"AuD, CCC-A, FAAA"
"Memorial Hearing, PLLC",Memorial Hearing,Houston,Harris,77079,11451 Katy Fwy Suite #520,(713) 984-7562,https://www.memorialhearing.com,"Dr. Elly Pourasef, Au.D.",46,UT_Austin_AuD_practicing_since_2003_implies_grad_2003_age_46,23,15,3,True,False,,25,Owner age 46.,86,Multi-AuD 15yr practice.,22,"strong=0, mod=0, low=0 → score 22.",85,Hearing aid TX baseline — VA-adjacent metro,48,C_watch,L1=25/L2=86/L3=22/L4=85 → 48.,VA Community Care contract — sticky federal recurring revenue; full-spectrum dispenser — upsell-ready.,high,0.92,AuD
Victory Hearing & Balance,Victory Hearing & Balance Center,Austin,Travis,78746,Austin (Westlake Hills); Hutto,,https://victoryhearing.com,"Dr. Jill Davis, Au.D.",52,AuD_grad_year_proxy_estimate,20,20,2,,False,,25,Owner age 52.,86,Multi-AuD 20yr practice.,22,"strong=0, mod=0, low=0 → score 22.",80,Hearing aid TX baseline,48,C_watch,L1=25/L2=86/L3=22/L4=80 → 48.,multi-location scalable; 20-yr practice; full-spectrum dispenser — upsell-ready.,medium,0.5,AuD
"Clark Hearing, Inc.",Clark Hearing,Magnolia,Montgomery,77354,Multiple locations (Magnolia HQ; Montgomery; Shenandoah; Tomball),(832) 482-2571,https://clarkhearing.com,,,unknown,,,,,False,,25,Owner age unknown — weak proxy only.,50,Years unknown.,42,"strong=0, mod=1, low=1 → score 42.",80,Hearing aid TX baseline,45,C_watch,L1=25/L2=50/L3=42/L4=80 → 45.,4-location regional footprint scalable; full-spectrum dispenser — upsell-ready.,low,0.5,HID (per spine — likely Clark family)
Cornerstone Audiology,Cornerstone Audiology,Lubbock,Lubbock,79424,5738 82nd Street (Lubbock); 3219 College Ave (Snyder),(806) 687-4327,https://cornerstoneaudiology.com,"Dr. Julie Hubik, Au.D.",50,founding_year_2007_plus_grad_proxy,19,19,1,,False,,25,Owner age 50.,74,Solo AuD 19yr — sellable.,22,"strong=0, mod=0, low=0 → score 22.",80,Hearing aid TX baseline,45,C_watch,L1=25/L2=74/L3=22/L4=80 → 45.,multi-location scalable.,medium,0.5,AuD
The Center for Audiology,The Center for Audiology - Houston,Houston,Harris,77004,"1200 Binz, Suite 1090",(713) 255-0035,https://centerforaud.com,"Dr. Sara Nagel, Au.D.",48,AuD_grad_estimate_pre_2008_founding_inferred,18,18,,,False,,25,Owner age 48.,74,Solo AuD 18yr — sellable.,22,"strong=0, mod=0, low=1 → score 22.",85,Hearing aid TX baseline — VA-adjacent metro,45,C_watch,L1=25/L2=74/L3=22/L4=85 → 45.,multi-location scalable.,medium,0.45,AuD
The Hearing Doctor,The Hearing Doctor,Lubbock,Lubbock,79424,"5607 114th Street, Suite 100 (Lubbock); 1301 Hobbs HWY Suite C (Seminole)",(806) 798-3600,https://myhearingdoc.com,"Dr. Arica Black, Au.D.",45,lubbock_practice_since_2013_grad_proxy,13,13,1,,False,,25,Owner age 45.,74,Solo AuD 13yr — sellable.,22,"strong=0, mod=0, low=0 → score 22.",80,Hearing aid TX baseline,45,C_watch,L1=25/L2=74/L3=22/L4=80 → 45.,multi-location scalable.,medium,0.5,AuD
"The Woodlands Hearing Center, LLC",The Woodlands Hearing Center,The Woodlands,Montgomery,77384,150 Pine Forest Dr #104,(936) 271-3366,https://www.thewoodlandshearingcenter.com,,,unknown,,,3,,False,,25,Owner age unknown — weak proxy only.,50,Years unknown.,42,"strong=0, mod=0, low=2 → score 42.",83,Hearing aid TX baseline — affluent suburban,45,C_watch,L1=25/L2=50/L3=42/L4=83 → 45.,standard hearing aid acquisition — modernize ops + add service lines.,low,0.6,AuD
Waco Hearing Center,Waco Hearing Center,Waco,McLennan,76710,"611 W State Highway 6, Ste 113",(254) 878-4040,https://wacohearingcenter.com,"Dr. Lauren York, Au.D.",38,founded_2021_AuD_grad_proxy,5,5,2,,False,,18,Owner age 38 -tenure (5 yrs <10).,63,5yr multi-staff.,22,"strong=0, mod=0, low=0 → score 22.",80,Hearing aid TX baseline,40,D_pass,L1=18/L2=63/L3=22/L4=80 → 40.,standard hearing aid acquisition — modernize ops + add service lines.,medium,0.5,AuD
Associates of Audiology,Associates of Audiology,San Antonio,Bexar,78215,"2632 Broadway, Suite 102 (San Antonio HQ); 8 additional clinics",(210) 451-0373,https://www.associatesofaudiology.com,,,,,,,,False,,25,Owner age unknown — weak proxy only.,50,Years unknown.,22,"strong=0, mod=0, low=0 → score 22.",85,Hearing aid TX baseline — VA-adjacent metro,39,D_pass,L1=25/L2=50/L3=22/L4=85 → 39.,9-location regional footprint scalable.,low,0.5,AuD
Dallas Ear Institute / Dallas Hearing Center,Dallas Ear Institute and Hearing Center,Frisco,Collin,75034,"5750 Genesis Court, Suite 100",(972) 566-7359,https://www.dallasear.com,,,n/a_excluded,,,,,False,,25,Owner age unknown — weak proxy only.,50,Years unknown.,22,"strong=0, mod=0, low=0 → score 22.",80,Hearing aid TX baseline,39,D_pass,L1=25/L2=50/L3=22/L4=80 → 39.,standard hearing aid acquisition — modernize ops + add service lines.,low,0.2,AuD (under ENT/neurotology ownership)
Hill Country Audiology Service,Hill Country Audiology Service,Kerrville,Kerr,78028,Kerrville location,,https://hillcountryaudiology.com,,,,,,,,False,,25,Owner age unknown — weak proxy only.,50,Years unknown.,22,"strong=0, mod=0, low=0 → score 22.",85,Hearing aid TX baseline — Hill Country retiree corridor,39,D_pass,L1=25/L2=50/L3=22/L4=85 → 39.,standard hearing aid acquisition — modernize ops + add service lines.,low,0.5,AuD
NOVA Audiology,NOVA Audiology,Sugar Land,Fort Bend,77478,"77 Sugar Creek Center Blvd, Ste 600",(832) 802-1763,https://novaaudiology.com,"Dr. Sadaf Momin, Au.D.",38,UNT_AuD_younger_generation_mobile_first_practice_modern_AI_brands,,,1,,False,,25,Owner age 38.,50,Years unknown.,22,"strong=0, mod=0, low=0 → score 22.",83,Hearing aid TX baseline — affluent suburban,39,D_pass,L1=25/L2=50/L3=22/L4=83 → 39.,standard hearing aid acquisition — modernize ops + add service lines.,high,0.7,AuD
Owens Ear Center,Owens Ear Center,Fort Worth,Tarrant,76104,923 Pennsylvania Ave,,https://www.owensearcenter.com,,,n/a_excluded,,,,,False,,25,Owner age unknown — weak proxy only.,50,Years unknown.,22,"strong=0, mod=0, low=0 → score 22.",85,Hearing aid TX baseline — VA-adjacent metro,39,D_pass,L1=25/L2=50/L3=22/L4=85 → 39.,standard hearing aid acquisition — modernize ops + add service lines.,low,0.15,AuD (under ENT ownership)
San Antonio Audiology,San Antonio Audiology,San Antonio,Bexar,78201,San Antonio,,https://sanantonioaudiology.com,,,,,,,,False,,25,Owner age unknown — weak proxy only.,50,Years unknown.,22,"strong=0, mod=0, low=0 → score 22.",85,Hearing aid TX baseline — VA-adjacent metro,39,D_pass,L1=25/L2=50/L3=22/L4=85 → 39.,standard hearing aid acquisition — modernize ops + add service lines.,low,0.5,AuD
Texas Hearing Solutions,Texas Hearing Solutions,Waco,McLennan,76710,Waco + Killeen locations,,https://txhearing.com,,,,,,,,False,,25,Owner age unknown — weak proxy only.,50,Years unknown.,22,"strong=0, mod=0, low=0 → score 22.",80,Hearing aid TX baseline,39,D_pass,L1=25/L2=50/L3=22/L4=80 → 39.,multi-location scalable.,low,0.5,HID
"Trinity Audiology Specialists, PLLC",Trinity Audiology Specialists,Port Arthur,Jefferson,77642,"7980 Anchor Dr, Suite 300-B",(409) 237-2868,https://trinityaudiology.com,"Dr. Rae Guerrero, Au.D. + Dr. Stacy Kuykendall, Au.D.",50,AuD_co_owner_partnership_proxy,,,2,,False,,25,Owner age 50.,50,Years unknown.,22,"strong=0, mod=0, low=0 → score 22.",80,Hearing aid TX baseline,39,D_pass,L1=25/L2=50/L3=22/L4=80 → 39.,standard hearing aid acquisition — modernize ops + add service lines.,medium,0.5,AuD
Waterloo Audiology,Waterloo Audiology,San Marcos,Hays,78666,"1340 Wonder World Drive, Suite 2300 (San Marcos); 105 Medical Drive (Seguin)",,https://waterlooaudiology.com,,,,,,,,False,,25,Owner age unknown — weak proxy only.,50,Years unknown.,22,"strong=0, mod=0, low=0 → score 22.",85,Hearing aid TX baseline — Hill Country retiree corridor,39,D_pass,L1=25/L2=50/L3=22/L4=85 → 39.,multi-location scalable.,low,0.5,AuD
"Beckman Audiology, PLLC",Beckman Audiology,Port Arthur,Jefferson,77640,2501 Jimmy Johnson Blvd #306,(409) 722-3400,https://beckmanaudiology.com,"Dr. Lindsay Shafer, Au.D.",42,2018_purchase_grad_proxy,8,20,1,,False,,18,Recent acquisition / new owner (1-3 yr) — not coast candidate.,74,Solo AuD 20yr — sellable.,20,Recent acquisition — coast tells N/A.,80,Hearing aid TX baseline,18,D_pass,L1=18/L2=74/L3=20/L4=80 → 18. Recent acquisition (within 3 yrs).,20-yr practice.,medium,0.5,AuD
