legal_name,dba_name,city,county,zip,address,phone,website,owner_name,owner_age_estimate,owner_age_source,owner_tenure_years,years_in_business,provider_count_estimate,employee_count_estimate,is_distressed,distress_reasons,layer1_base_rate,layer1_comment,layer2_sellability,layer2_comment,layer3_behavioral_trigger,layer3_comment,layer4_market_pull,layer4_comment,final_score,final_tier,final_comment,value_add_thesis,confidence,data_completeness,lines_of_business
Whitaker Insurance,"Whitaker Insurance Associates, Inc.",San Antonio,Bexar,,,210-824-3777,https://whitakerins.com/,Don Whitaker,70,license_tenure_proxy_plus_award_recognition,43,43,,False,[],94,"Don Whitaker, est. age ~70 (license_tenure_proxy_plus_award_recognition); 43-yr agency tenure.",88,43-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch captured.,84,Bexar County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,81,B_forward,"L1 94/L2 88/L3 60/L4 84 → final 81, tier B_forward (conf medium).",,medium,0.62,mixed,
Perdue Insurance Agency LLC,,Austin,Travis,78752,6607B Airport Blvd,512-374-9100,https://www.perdueinsurancetx.com/,"Donald Perdue (family-owned, founded 1996; auto insurance since 1988)",65,license_tenure_proxy,38,30,,False,[],85,"Donald Perdue (family-owned, founded 1996; auto insurance since 1988), est. age ~65 (license-tenure proxy); 30-yr agency tenure.",91,30-yr commercial_only agency; 6 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,87,Travis County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,79,B_forward,"L1 85/L2 91/L3 60/L4 87 → final 79, tier B_forward (conf medium).",,medium,0.62,commercial_only,
Bosworth & Associates,,Tyler,Smith (East TX — out of 5-metro scope),75701,1818 W Southwest Loop 323,(903) 561-2621,https://bosworth-associates.com/,"Michael J. Bosworth (President/CEO, 2nd gen); Cambridge Bosworth (joined 2018, likely 3rd gen)",71,license_tenure_proxy,49,87,,False,[],95,"Michael J. Bosworth (President/CEO, 2nd gen); Cambridge Bosworth (joined 2018, likely 3rd gen), est. age ~71 (license-tenure proxy); 87-yr agency tenure.",88,87-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch captured.,69,Smith (East TX — out of 5-metro scope) County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,79,B_forward,"L1 95/L2 88/L3 60/L4 69 → final 79, tier B_forward (conf medium).",,medium,0.62,mixed,
Jeffrey R Mewhirter Insurance Agency Inc.,,Grapevine,Tarrant,76051,"611 S Main St #400, Grapevine, TX 76051",817-410-4690,https://mewhirterinsurance.com/,Jeffrey R. Mewhirter,64,license_tenure_proxy,39,39,2,False,[],82,"Jeffrey R. Mewhirter, est. age ~64 (license-tenure proxy); 39-yr agency tenure.",91,39-yr mixed agency; 4 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,42,1 coasting tell(s). Successor-check live-fetch captured.,89,Tarrant County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,73,B_forward,"L1 82/L2 91/L3 42/L4 89 → final 73, tier B_forward (conf medium).",,medium,0.62,mixed,2
"James Little Agency, LLC",,Fort Worth,Tarrant,76244,"1560 E Southlake Blvd, Southlake, TX",(817) 380-4952,https://www.jameslittleagency.com/,James Little,60,license_tenure_proxy,28,28,,False,[],67,"James Little, est. age ~60 (license-tenure proxy); 28-yr agency tenure.",74,28-yr personal_only agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch captured.,82,Tarrant County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,69,B_forward,"L1 67/L2 74/L3 60/L4 82 → final 69, tier B_forward (conf medium).",,medium,0.62,personal_only,1
Independent Insurance Center (IIC),,San Antonio,Bexar,,,,https://www.iicsa.com/,Wade Sales (Partner) and Blake Sales (Partner),57,license_tenure_proxy,30,142,,False,[],55,"Wade Sales (Partner) and Blake Sales (Partner), est. age ~57 (license-tenure proxy); 142-yr agency tenure.",88,142-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch captured.,84,Bexar County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,69,B_forward,"L1 55/L2 88/L3 60/L4 84 → final 69, tier B_forward (conf medium).",,medium,0.62,mixed,4
Insurance Services Agency,,McKinney,Collin (cross-Dallas),75069,"600 N. McDonald St, McKinney, TX 75069",972-548-1199,https://www.isamcktx.com/,J. Caserotti (Jeff or Joel — first initial only confirmed via email; full name not publicly disclosed on website),,unknown,34,34,,False,[],59,"J. Caserotti (Jeff or Joel — first initial only confirmed via email; full name not publicly disclosed on website), age UNKNOWN; 34-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",88,34-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch captured.,69,Collin (cross-Dallas) County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,68,B_forward,"L1 59/L2 88/L3 60/L4 69 → final 68, tier B_forward (conf medium).",,medium,0.5,mixed,1
Comaltex Insurance Agency,,New Braunfels,Comal (cross-Bexar),78130,1110 Eikel St,(830) 625-7511,https://www.comaltex.com/,Owner not publicly disclosed; Kristine Eilers (Operations Manager per search snippet),,unknown,,78,,False,[],59,"Owner not publicly disclosed; Kristine Eilers (Operations Manager per search snippet), age UNKNOWN; 78-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",88,78-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,69,Comal (cross-Bexar) County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,68,B_forward,"L1 59/L2 88/L3 60/L4 69 → final 68, tier B_forward (conf medium).",,medium,0.5,mixed,
"RC Insurance Agency, LLC",formerly ARCI Insurance,Carrollton,Dallas,75006,,(469) 299-5750,https://www.getrcinsurance.com/,,,unknown,27,27,,False,[],49,"owner not identified, age UNKNOWN; 27-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",82,27-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch captured.,89,Dallas County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,67,B_forward,"L1 49/L2 82/L3 60/L4 89 → final 67, tier B_forward (conf low).",,low,0.38,mixed,
Hall Insurance Agency Inc,,Fort Worth,Tarrant,76137,5421 Basswood Blvd. Ste 780,(817) 281-0125,https://www.insureitfast.com/,,,unknown,25,25,,False,[],49,"owner not identified, age UNKNOWN; 25-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",85,25-yr mixed agency; 14 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Tarrant County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,67,B_forward,"L1 49/L2 85/L3 60/L4 89 → final 67, tier B_forward (conf low).",,low,0.38,mixed,
Alpine Insurance of Texas,,Austin,Travis,78759,12731 Research Blvd,512-459-3434,https://www.alpineinsurancetexas.com/,Michelle Davis (President per LinkedIn search snippet); separate person Michaela McGookey also at agency,,unknown,25,25,,False,[],49,"Michelle Davis (President per LinkedIn search snippet); separate person Michaela McGookey also at agency, age UNKNOWN; 25-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",85,25-yr mixed agency; 14 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,87,Travis County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,67,B_forward,"L1 49/L2 85/L3 60/L4 87 → final 67, tier B_forward (conf medium).",,medium,0.5,mixed,
Heaton Bennett Insurance,,Austin,Travis,78759,3933 Steck Ave Ste B-119,512-372-8311,https://insureaustin.com/,Nancy Heaton (Owner); Ross Bennett (partner per name),,unknown,22,22,30,False,[],45,"Nancy Heaton (Owner); Ross Bennett (partner per name), age UNKNOWN; 22-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",85,22-yr mixed agency; 8 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,87,Travis County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,66,B_forward,"L1 45/L2 85/L3 60/L4 87 → final 66, tier B_forward (conf medium).",,medium,0.5,mixed,
Alliance Insurance Agency,,Frisco,Collin (cross-Dallas),75033,"5566 Main Street, Suite 210, Frisco, TX 75033",(214) 618-5430,https://www.allianceinsure.com/about-us.html,,,unknown,23,23,,False,[],45,"owner not identified, age UNKNOWN; 23-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",85,23-yr mixed agency; 9 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,69,Collin (cross-Dallas) County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,63,B_forward,"L1 45/L2 85/L3 60/L4 69 → final 63, tier B_forward (conf low).",,low,0.38,mixed,
Rock Insurance Agency,,Houston,Harris,77042,10700 Richmond Ave Suite 103,,https://www.rockinsurancetexas.com/,,,unknown,,33,,False,[],59,"owner not identified, age UNKNOWN; 33-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",91,33-yr mixed agency; 4 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Harris County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,62,B_forward,"L1 59/L2 91/L3 28/L4 89 → final 62, tier B_forward (conf low).",,low,0.38,mixed,
"Bankhead Insurance Agency, LLC",,Dallas,Dallas,75248,"17103 Preston Rd., Ste. 175",,https://www.insurancedallas.com/,Philip Bankhead,,linkedin_tenure_proxy,40,40,,False,[],59,"Philip Bankhead, age UNKNOWN; 40-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",91,40-yr mixed agency; 5 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Dallas County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,62,B_forward,"L1 59/L2 91/L3 28/L4 89 → final 62, tier B_forward (conf medium).",,medium,0.5,mixed,
"Magnum Choice Insurance Agency, Inc.",,Plano,Collin (cross-Dallas),,,972-801-6878,https://magnumchoice.com/,,,unknown,20,20,,False,[],45,"owner not identified, age UNKNOWN; 20-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",82,20-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,69,Collin (cross-Dallas) County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,62,B_forward,"L1 45/L2 82/L3 60/L4 69 → final 62, tier B_forward (conf low).",,low,0.38,mixed,
"Kingspoint Insurance Agency, Inc.",,Houston,Harris,77082,11200 Richmond Ave Ste 350,,https://kingspointinsurance.com/,Ha Le,,license_tenure_proxy,36,36,,False,[],59,"Ha Le, age UNKNOWN; 36-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",88,36-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Harris County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,61,B_forward,"L1 59/L2 88/L3 28/L4 89 → final 61, tier B_forward (conf medium).",,medium,0.5,mixed,
Thumann Insurance Agency,,Dallas,Dallas,75251,12770 Coit Road Suite 110,(972) 991-9100,https://thumanninsuranceagency.com/,Steve Thumann,,license_tenure_proxy,20,30,,False,[],59,"Steve Thumann, age UNKNOWN; 30-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",88,30-yr mixed agency; 1 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Dallas County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,61,B_forward,"L1 59/L2 88/L3 28/L4 89 → final 61, tier B_forward (conf medium).",,medium,0.62,mixed,
The Select Insurance Agency,,Lewisville,Denton (cross-Dallas),,"500 S Denton Tap Rd, Coppell, TX (also Lewisville)",,https://www.insurancefordfw.com/,Todd McShan,60,license_tenure_proxy,30,22,,False,[],63,"Todd McShan, est. age ~60 (license-tenure proxy); 22-yr agency tenure.",77,22-yr personal_only agency; 5 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,42,1 coasting tell(s). Successor-check live-fetch captured.,62,Denton (cross-Dallas) County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,60,B_forward,"L1 63/L2 77/L3 42/L4 62 → final 60, tier B_forward (conf medium).",,medium,0.62,personal_only,1
Greater Austin Insurance Agency,,Austin,Travis,,,,https://gaiai.com/,Robert (Bob) Husk — founder; Jeff Husk (son) — designated successor,72,license_tenure_proxy,46,46,,False,[],96,"Robert (Bob) Husk — founder; Jeff Husk (son) — designated successor, est. age ~72 (license-tenure proxy); 46-yr agency tenure.",88,46-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch captured.,87,Travis County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,82,C_watch,"GATE: successor_in_place: Bob + Jeff Husk active father-son partnership. L1 96/L2 88/L3 60/L4 87 → final 82, tier C_watch (conf medium).",,medium,0.62,mixed,
Central Insurance Agency,,Austin,Travis,78752,6000 N. Lamar Blvd.,512.451.6551,https://www.centralins.com/,"Andy Raper (VP) and Scott Raper (President) — brothers, 2nd generation",64,public_records_birthdate,,67,20,False,[],82,"Andy Raper (VP) and Scott Raper (President) — brothers, 2nd generation, est. age ~64 (public_records_birthdate); 67-yr agency tenure.",88,67-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch captured.,87,Travis County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,78,C_watch,"GATE: successor_in_place: Active Raper brothers succession (Scott Raper b. 1962 + Tyler Raper 2nd gen). L1 82/L2 88/L3 60/L4 87 → final 78, tier C_watch (conf medium).",,medium,0.62,mixed,
Tom Hotaling Insurance Agency,"GTX Insurance Partners, LLC",San Antonio,Bexar,78216,"7300 Blanco Rd Ste 102, San Antonio, TX 78216 (also 888 Isom Rd)",(210) 348-8500,https://www.tomhotaling.com/,Tom Hotaling (Principal Partner) + Greg Garcia (Co-Principal Partner),64,license_tenure_proxy,34,34,,False,[],82,"Tom Hotaling (Principal Partner) + Greg Garcia (Co-Principal Partner), est. age ~64 (license-tenure proxy); 34-yr agency tenure.",88,34-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch captured.,84,Bexar County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,77,C_watch,"GATE: partnership_internal_succession_signal. L1 82/L2 88/L3 60/L4 84 → final 77, tier C_watch (conf medium).",,medium,0.62,mixed,2
Threlkeld & Company Insurance Agency,TCI,Tyler,"Smith (East TX — out of 5-metro scope, but DFW + Houston offices)",,"1121 ESE Loop 323, Suite 200",,https://www.threlkeld.com/,"Todd W. Threlkeld (CEO, 2nd gen); Dustin Glover (President, non-family, joined 2008)",62,license_tenure_proxy,38,44,40,False,[],75,"Todd W. Threlkeld (CEO, 2nd gen); Dustin Glover (President, non-family, joined 2008), est. age ~62 (license-tenure proxy); 44-yr agency tenure.",88,44-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch captured.,69,"Smith (East TX — out of 5-metro scope, but DFW + Houston offices) County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.",73,C_watch,"GATE: successor_in_place: Dustin Glover (President, ~40-42) clear heir-apparent to Todd Threlkeld. L1 75/L2 88/L3 60/L4 69 → final 73, tier C_watch (conf medium).",,medium,0.62,mixed,13
Dreiss Insurance Agency,,Boerne,Kendall (cross-Bexar),78006,805 N Main St,,https://www.dreissinsurance.com/,"Lee Dreiss (owner, 2nd gen, since 1986); Denton Dreiss (son, 3rd gen, Boerne HS Class of 2016, Commercial Lines Manager); Amy Dreiss (wife, Office Manager)",62,license_tenure_proxy,40,47,5,False,[],75,"Lee Dreiss (owner, 2nd gen, since 1986); Denton Dreiss (son, 3rd gen, Boerne HS Class of 2016, Commercial Lines Manager); Amy Dreiss (wife, Office Manager), est. age ~62 (license-tenure proxy); 47-yr agency tenure.",88,47-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch captured.,69,Kendall (cross-Bexar) County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,73,C_watch,"GATE: successor_in_place: Denton Dreiss in training as 2nd gen. L1 75/L2 88/L3 60/L4 69 → final 73, tier C_watch (conf medium).",,medium,0.62,mixed,
