legal_name,dba_name,city,county,zip,address,phone,website,owner_name,owner_age_estimate,owner_age_source,owner_tenure_years,years_in_business,provider_count_estimate,employee_count_estimate,is_distressed,distress_reasons,layer1_base_rate,layer1_comment,layer2_sellability,layer2_comment,layer3_behavioral_trigger,layer3_comment,layer4_market_pull,layer4_comment,final_score,final_tier,final_comment,value_add_thesis,confidence,data_completeness,lines_of_business
Dean & Draper Insurance Agency,,Houston,Harris,77098,"3131 W Alabama St, Suite 150",,https://www.deandraper.com/,Kyle Dean (son of founder Bob Dean),,website_self_report,,45,,False,[],59,"Kyle Dean (son of founder Bob Dean), age UNKNOWN; 45-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",91,45-yr mixed agency; 7 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Harris County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,72,C_watch,"GATE: successor_in_place: Bob → Kyle Dean succession executed — multi-partner structure. L1 59/L2 91/L3 60/L4 89 → final 72, tier C_watch (conf medium).",,medium,0.5,mixed,
David Ison Insurance,"David Ison & Sons Insurance, Inc.",San Antonio,Bexar,78216,1383 East Bitters #1,210-490-1494,https://davidisoninsurance.com/,"Stephen W. Ison (CEO/Owner), with Mark R. Ison (VP) and David W. Ison (Director)",,unknown,47,47,4,False,[],59,"Stephen W. Ison (CEO/Owner), with Mark R. Ison (VP) and David W. Ison (Director), age UNKNOWN; 47-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",88,47-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch captured.,84,Bexar County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,70,C_watch,"GATE: successor_in_place: Multi-gen: David founder → Stephen CEO + Mark VP + Jake 3rd gen. L1 59/L2 88/L3 60/L4 84 → final 70, tier C_watch (conf medium).",,medium,0.5,mixed,4
Britton & Britton Insurance,"Britton and Britton Insurance Services, Inc.",Austin,Travis,,"2028 E Ben White Blvd, Austin (also San Marcos branch)",512-469-0693,https://www.brittonandbritton.com/,"Robert C. 'Riley' Britton (2nd generation, current principal); Robert 'Bob' Britton (founder, status unclear)",,license_tenure_proxy,33,40,,False,[],59,"Robert C. 'Riley' Britton (2nd generation, current principal); Robert 'Bob' Britton (founder, status unclear), age UNKNOWN; 40-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",88,40-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,42,1 coasting tell(s). Successor-check live-fetch captured.,87,Travis County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,65,C_watch,"GATE: successor_in_place: Bob Britton → Riley Britton succession executed. L1 59/L2 88/L3 42/L4 87 → final 65, tier C_watch (conf medium).",,medium,0.5,mixed,3
Insurance Over Texas,,Houston,Harris,,430 Hwy 6 S. #102,281-752-6704,https://www.insuranceovertexas.com/,Martha Juarez,,website_self_report,,31,,False,[],59,"Martha Juarez, age UNKNOWN; 31-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",91,31-yr mixed agency; 13 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Harris County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,62,C_watch,"GATE: successor_in_place: Succession just completed — Dale Jackson → Martha Juarez. L1 59/L2 91/L3 28/L4 89 → final 62, tier C_watch (conf medium).",,medium,0.5,mixed,
"Pasadena Insurance Agency, Inc.",,Pasadena/Houston,Harris,77007,"99 Detering, Houston, TX 77007",,https://www.pasins.com/,Frank Karkowsky (President) + Ronnie Karkowsky (VP) — 3rd gen brothers,,website_self_report,,90,,False,[],59,"Frank Karkowsky (President) + Ronnie Karkowsky (VP) — 3rd gen brothers, age UNKNOWN; 90-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",88,90-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Harris County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,61,C_watch,"GATE: successor_in_place: 3rd-gen Karkowsky brothers actively operating — succession path locked. L1 59/L2 88/L3 28/L4 89 → final 61, tier C_watch (conf medium).",,medium,0.5,mixed,
Gibb Agency Insurance Services,,Dallas,Dallas,75243,"9535 Forest Ln, Ste 102",,https://gibbinsuranceservices.com/,"Susana Gibb (Dallas branch, since 1997) + Gilbert Gibb (founder, Tyler, since 1989)",,website_self_report,29,37,,False,[],59,"Susana Gibb (Dallas branch, since 1997) + Gilbert Gibb (founder, Tyler, since 1989), age UNKNOWN; 37-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",88,37-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Dallas County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,61,C_watch,"GATE: successor_in_place: Gilbert → Susana Gibb father-daughter succession executed. L1 59/L2 88/L3 28/L4 89 → final 61, tier C_watch (conf medium).",,medium,0.5,mixed,
Brooks Cannon Insurance Group,,Dallas,Dallas,75206,5728 Prospect Ave Suite 2003,214-446-9000,https://brookscannon.com/,Brooks Cannon,,linkedin_career_start,26,26,,False,[],49,"Brooks Cannon, age UNKNOWN; 26-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",85,26-yr mixed agency; 11 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Dallas County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,58,C_watch,"L1 49/L2 85/L3 28/L4 89 → final 58, tier C_watch (conf medium).",,medium,0.5,mixed,
Champion Commercial Insurance,,Dallas,Dallas,,8131 Lyndon B Johnson Fwy,,https://championins.com/,Bruce Sams (4th gen TX insurance) + David Hunt + Greg Rumsey,,website_self_report,29,29,,False,[],49,"Bruce Sams (4th gen TX insurance) + David Hunt + Greg Rumsey, age UNKNOWN; 29-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",85,29-yr mixed agency; 8 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Dallas County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,58,C_watch,"GATE: successor_in_place: Just merged with Wood-Wilson April 2023. L1 49/L2 85/L3 28/L4 89 → final 58, tier C_watch (conf medium).",,medium,0.5,mixed,
Texan's Choice Insurance Agency,,San Antonio,Bexar,,13409 NW Military #308,(210) 492-7000,https://texanschoice.com/,Roger J. Haines,,unknown,14,14,,False,[],25,"Roger J. Haines, age UNKNOWN; 14-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",75,14-yr mixed agency; 8 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,84,Bexar County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,57,C_watch,"L1 25/L2 75/L3 60/L4 84 → final 57, tier C_watch (conf low).",,low,0.5,mixed,1
Avalon Insurance Agency,,Houston,Harris,77096,,,https://www.avalonins.com/,Tom Huynh (Founder/President) + Debbie Gehring (Owner),,linkedin,20,20,,False,[],45,"Tom Huynh (Founder/President) + Debbie Gehring (Owner), age UNKNOWN; 20-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",85,20-yr mixed agency; 15 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Harris County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,56,C_watch,"L1 45/L2 85/L3 28/L4 89 → final 56, tier C_watch (conf medium).",,medium,0.5,mixed,
The Texas Insurance Broker,,Austin,Travis,,4009 Banister Lane,512-270-0256,https://www.thetexasinsurancebroker.com/,Tom Shallue,,unknown,7,7,,False,[],19,"Tom Shallue, age UNKNOWN; 7-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",62,7-yr mixed agency; 1 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,87,Travis County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,52,C_watch,"L1 19/L2 62/L3 60/L4 87 → final 52, tier C_watch (conf low).",,low,0.5,mixed,1
DeShazo Insurance,,Sugar Land,Fort Bend (cross-Harris),,,,https://www.deshazoinsurance.com/,Abbie DeShazo,,linkedin,16,16,6,False,[],35,"Abbie DeShazo, age UNKNOWN; 16-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",75,16-yr mixed agency; 5 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,69,Fort Bend (cross-Harris) County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,48,C_watch,"L1 35/L2 75/L3 28/L4 69 → final 48, tier C_watch (conf medium).",,medium,0.5,mixed,
"MH P&C Insurance Agency, LLC",,Pflugerville,Travis,78660,100 S 2nd St,(512) 852-1382,https://mhautohome.com/,Brent Christopher Hagen,,unknown,20,11,,False,[],25,"Brent Christopher Hagen, age UNKNOWN; 11-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",75,11-yr mixed agency; 10 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,87,Travis County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,48,C_watch,"L1 25/L2 75/L3 28/L4 87 → final 48, tier C_watch (conf low).",,low,0.5,mixed,
Hart Insurance Group,,Spring,Montgomery (cross-Harris),77380,2203 Timberloch Pl Ste 135,281-419-1656,https://www.insurewithhart.com/independent-agent,,,unknown,15,15,,False,[],35,"owner not identified, age UNKNOWN; 15-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",64,15-yr personal_only agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,62,Montgomery (cross-Harris) County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,44,D_pass,"L1 35/L2 64/L3 28/L4 62 → final 44, tier D_pass (conf low).",,low,0.38,personal_only,
"Haley Insurance Agency, Inc.",,The Woodlands,Montgomery (cross-Harris),,,281-364-7888,https://haleyinsuranceonline.com/,,,unknown,,,,False,[],19,"owner not identified, age UNKNOWN; 0-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",30,Only 0 yrs in business — fails 5-yr gate.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,62,Montgomery (cross-Harris) County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,31,D_pass,"L1 19/L2 30/L3 28/L4 62 → final 31, tier D_pass (conf low).",,low,0.25,personal_only,
Texan Insurance,,Houston,Harris,77036,6161 Savoy Dr Ste 960,281-998-2500,https://www.texaninsurance.com/,Rahim Virani (President),,unknown,,41,,False,[],59,"Rahim Virani (President), age UNKNOWN; 41-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",88,41-yr mixed agency; 1 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Harris County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,25,D_pass,"GATE: acquirer_role: Active acquirer — 5 acquisitions 2020-2025, dedicated M&A landing page. L1 59/L2 88/L3 60/L4 89 → final 25, tier D_pass (conf high).",,high,0.5,mixed,
Texas Insurance Agency (TIA),,Houston,Harris,,,,https://gettia.com/,,,unknown,,27,700,False,[],49,"owner not identified, age UNKNOWN; 27-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",82,27-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Harris County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,25,D_pass,"GATE: too_large: 700+ employees, 40+ locations — aggregator/platform-scale. L1 49/L2 82/L3 28/L4 89 → final 25, tier D_pass (conf high).",,high,0.38,mixed,
Kevin Lee Company,,Dallas,Dallas,75234,"2828 Forest Ln, Ste 2300",(972) 243-0108,https://kevinleeco.com/,Kevin Lee,,license_tenure_proxy,39,39,,False,[],59,"Kevin Lee, age UNKNOWN; 39-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",88,39-yr mixed agency; 1 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Dallas County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,25,D_pass,"GATE: too_large: 14-state operation — likely above off-market acquirer-self threshold. L1 59/L2 88/L3 28/L4 89 → final 25, tier D_pass (conf high).",,high,0.5,mixed,
Salgado Insurance Agency,,Richardson,Dallas,,,972-327-6565,https://salgadoinsuranceagency.com/,Hondo Salgado,,license_tenure_proxy,13,13,,False,[],25,"Hondo Salgado, age UNKNOWN; 13-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",72,13-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,42,1 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Dallas County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,25,D_pass,"GATE: too_young: Only 13-15 yrs. L1 25/L2 72/L3 42/L4 89 → final 25, tier D_pass (conf high).",,high,0.5,mixed,1
Schuder Insurance Agency,,Fort Worth,Tarrant,76104,109 E Rosedale St,(817) 353-2017,https://schuderinsurance.com/,"Crystal Schuder (with Harley Schuder, mother)",,unknown,7,7,3,False,[],19,"Crystal Schuder (with Harley Schuder, mother), age UNKNOWN; 7-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",65,7-yr mixed agency; 18 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Tarrant County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,25,D_pass,"GATE: platform_or_captive: captive_or_dual_appointed (Crystal Schuder is also a Farmers Insurance agent per agents.farmers.com). L1 19/L2 65/L3 28/L4 89 → final 25, tier D_pass (conf high).",,high,0.5,mixed,3
Watkins Insurance Group,,Austin,Travis,,"3834 Spicewood Springs Rd, Austin, TX",,https://watkinsinsurancegroup.com/,Patrick Watkins (CEO + majority shareholder),,license_tenure_proxy,31,76,165,False,[],59,"Patrick Watkins (CEO + majority shareholder), age UNKNOWN; 76-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",88,76-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch captured.,87,Travis County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,25,D_pass,"GATE: too_large: 165 emp / $93M rev / 50-state — too large + active CEO succession. L1 59/L2 88/L3 60/L4 87 → final 25, tier D_pass (conf high).",,high,0.5,mixed,
Lawhorn & Moore Insurance Brokers,,Round Rock,Williamson (cross-Travis),78681,1311 Chisholm Trl Suite 403,,https://lminsurancebrokers.com/,Justin Lawhorn + John Moore (Goosehead franchise owners),,unknown,17,17,,False,[],35,"Justin Lawhorn + John Moore (Goosehead franchise owners), age UNKNOWN; 17-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",75,17-yr mixed agency; 4 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,69,Williamson (cross-Travis) County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,25,D_pass,"GATE: platform_or_captive: platform_subsidiary (Goosehead Insurance franchise — EXCLUDE FROM TARGETS). L1 35/L2 75/L3 28/L4 69 → final 25, tier D_pass (conf high).",,high,0.5,mixed,2
Allen Thomas Group,,Houston,Harris,,,(440) 826-3676,https://allenthomasgroup.com/texas-insurance-agency/houston/,Joe Race (founder/CEO; University of Akron grad),55,license_tenure_proxy,23,23,,False,[],43,"Joe Race (founder/CEO; University of Akron grad), est. age ~55 (license-tenure proxy); 23-yr agency tenure.",85,23-yr mixed agency; 8 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Harris County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,25,D_pass,"GATE: too_large: Akron OH HQ multi-state — Houston is regional branch. L1 43/L2 85/L3 60/L4 89 → final 25, tier D_pass (conf high).",,high,0.62,mixed,
Josh Smith Insurance Agency,,Frisco,Collin (cross-Dallas),,,,https://insurancewithjosh.com/,Josh Smith (Owner/Agent; Army veteran),,unknown,14,14,6,False,[],25,"Josh Smith (Owner/Agent; Army veteran), age UNKNOWN; 14-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",75,14-yr mixed agency; 10 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,69,Collin (cross-Dallas) County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,25,D_pass,"GATE: not_selling_mid_career: Mid-career owner. L1 25/L2 75/L3 28/L4 69 → final 25, tier D_pass (conf high).",,high,0.5,mixed,6
TWFG Insurance Services (The Woodlands HQ; Tomball branch),TWFG,Tomball,Harris,77375,23309 Kuykendahl Rd,(281) 466-1310,https://twfg-texas.com/,Branch operator (specific name not disclosed for Tomball location); corporate parent TWFG Inc. (NASDAQ: TWFG),,unknown,,25,,False,[],49,"Branch operator (specific name not disclosed for Tomball location); corporate parent TWFG Inc. (NASDAQ: TWFG), age UNKNOWN; 25-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",85,25-yr mixed agency; 9 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Harris County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,25,D_pass,"GATE: platform_or_captive: platform_subsidiary (TWFG franchise model, ~400 branches; public IPO 2024 — EXCLUDE FROM TARGETS). L1 49/L2 85/L3 28/L4 89 → final 25, tier D_pass (conf high).",,high,0.5,mixed,
Chande Agency,,Round Rock,Williamson (cross-Travis),78665,2200 East Palm Valley Blvd Ste 120,(737) 220-9800,https://www.chandeagency.com/,Sameer (Sam) Chande — GEICO Local Agent,,unknown,,,,False,[],19,"Sameer (Sam) Chande — GEICO Local Agent, age UNKNOWN; 0-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",30,Only 0 yrs in business — fails 5-yr gate.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,69,Williamson (cross-Travis) County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,25,D_pass,"GATE: platform_or_captive: platform_subsidiary (GEICO Local Agent program — EXCLUDE FROM TARGETS). L1 19/L2 30/L3 28/L4 69 → final 25, tier D_pass (conf high).",,high,0.38,mixed,
