legal_name,dba_name,city,county,zip,address,phone,website,owner_name,owner_age_estimate,owner_age_source,owner_tenure_years,years_in_business,provider_count_estimate,employee_count_estimate,is_distressed,distress_reasons,layer1_base_rate,layer1_comment,layer2_sellability,layer2_comment,layer3_behavioral_trigger,layer3_comment,layer4_market_pull,layer4_comment,final_score,final_tier,final_comment,value_add_thesis,confidence,data_completeness
Santhoff Plumbing Company,Santhoff Plumbing,Houston,Harris,,,(713) 665-4997,https://www.santhoffplumbingco.com/,Joe Santhoff,72,biz_history_proxy,52,52,3,16,False,[],70,Joe Santhoff founder ~age 72-78 (1974 founding + ~30 yr at founding = age ~75). Long tenure but family succession already structured — Jason (GM) + James (MP) + Julie (Office) Santhoff are clearly the next generation.,88,"Excellent: 52-yr operation, 14+ named techs + 2 MPs, Santhoff Family Club membership = recurring revenue, 840 Google reviews 4.9-star, multi-trade scope. ≈ $2.5-4M rev band, SBA-financeable mid-shop.",50,"Limited coasting tells — Family Club membership active, Yelp/Google review velocity strong (840 reviews 4.9), 'Request Service' modernized form. Successor check NEGATIVE: live team page fetched 2026-05-16 lists Joe + Jason (GM) + James (MP) + Julie (Office Mgr). NOT a coasting-solo profile.",90,"Houston rollup hot, Santhoff is platform-acquirer sweet-spot size at $2.5-4M rev, premium 5-county Houston metro service area.",72,B_forward,"Joe Santhoff, ~75 (founded Santhoff Plumbing 1974, family-business proxy), runs the company with second-generation children Jason (GM), James (Master Plumber), and Julie (Office Mgr) — verified via live team-page fetch on santhoffplumbingco.com/about-us 2026-05-16. Multi-generation structured family succession is in place; this is NOT the coasting-solo-to-outside-buyer profile. Healthy mid-shop ($2.5-4M rev band), Santhoff Family Club $20/mo membership, 840 Google reviews 4.9-star. B_forward — strong bolt-on candidate for the Mastermind / ETA buyer community but not Gideon-acquire-self.","Mid-shop Houston multi-gen family plumbing operation with strong existing membership program and review base. Forward to ETA / search-fund / Apex-Wrench-platform buyer community as a B-tier bolt-on. Value-add levers: ServiceTitan dispatch migration, $5M+ revenue stretch via geographic expansion into Sugar Land + Katy, recurring revenue conversion from one-time customers.",high,0.8
"Strutton Plumbing Company, Inc.",Strutton Plumbing,Houston,Harris,,,,https://www.struttonplumbing.com/,,70,biz_history_proxy,55,55,2,8,False,[],72,Strutton Plumbing 'third-generation family-owned' since 1971. Current operator age ~60-70.,70,"55-yr operation, mid-shop multi-trade plumbing + new construction + underground utilities, Houston 77074.",55,Successor check NEGATIVE: live website states 'third-generation family-owned business' = internal succession explicit. No coasting-solo thesis.,78,Houston rollup hot.,67,B_forward,"Strutton Plumbing Company, 55-yr-old explicit 3rd-generation family operation in Houston 77074. Internal succession in place. B_forward — bolt-on candidate.",Mid-shop Houston multi-trade plumbing + underground utilities specialty. Forward to ETA/PE community as B-tier bolt-on.,medium,0.55
The Lindsay Company Plumbing,,Cypress,Harris,,,,https://www.lindsayplumbing.com/,,65,biz_history_proxy,44,44,1,8,False,[],65,Lindsay Company since 1982. Owner age ~60-70.,70,"44-yr NW Houston shop, multi-service plumbing + water filtration + gas generator. ≈ $1-2M rev.",55,"Thin web detail — no team page, no membership, no booking visible. Family-owned 1982. Possible coasting profile.",78,"Houston rollup hot, NW Harris baseline.",65,B_forward,"The Lindsay Company Plumbing — 44-yr NW Houston family. Thin online presence, possible coasting. B_forward pending deeper team verification.",NW Houston plumbing modernization candidate. Forward to ETA / PE bolt-on after live team page deep-dive.,low,0.45
Cooper Plumbing,,Houston,Harris,,,,,,,unverified,,,1,3,False,[],50,Unverified.,50,Unverified.,35,Unverified.,75,Houston baseline.,49,C_watch,Cooper Plumbing — unverified candidate; common name. C_watch pending verification.,N/A — unverified.,low,0.2
Nick's Plumbing Services,Nick's Plumbing,Houston,Harris,,,,https://www.nicksplumbing.com/,,60,biz_history_proxy,47,47,3,22,False,[],60,Nick's Plumbing family-owned since 1979. Owner age proxy ~60 from biz history.,88,"Excellent: 47-yr operation, multi-trade plumbing + HVAC + electric (TACLA0012793E + TACLB85298E), Nick's Smart VIP membership program, online booking. ≈ $3-6M rev band.",35,"FEW coasting tells — Nick's Smart VIP membership = active recurring revenue, true online booking, premium Houston Galleria/Bellaire/Memorial service area = high-end clients. Modernized = NOT coasting profile.",92,Houston rollup hot + premium Galleria/Bellaire/Memorial submarket nudge +5.,64,B_forward,"Nick's Plumbing, 47-yr family-owned Houston shop with active VIP membership program, true online booking, multi-trade scope (plumbing+HVAC+electric), premium service area (Galleria/Bellaire/Memorial). $3-6M revenue band. This is NOT a coasting-owner — modernization signals are intact. B_forward — premium platform-acquirer bolt-on candidate for Apex/Wrench/Service Champions.",Premium Houston Galleria/Bellaire/Memorial multi-trade plumbing+HVAC+electric is a platform-acquirer prize. Forward to Apex / Wrench / Service Champions / Sila as a $5-10M sale target.,medium,0.65
Wedgeworth Plumbing,,Houston,Harris,,,,https://wedgeworthplumbing.com/,,55,biz_history_proxy,25,45,2,14,False,[],65,"Wedgeworth Plumbing — current owner Sean (2nd-gen, inherited from Mr & Mrs Wedgeworth per customer testimonial). Age likely 50-60.",75,"Mid-shop Houston (77055 — Spring Branch). 14+ named techs >10 yrs experience each. Multi-trade scope (water heaters, tankless, drain cleaning, hydro-jet, sewer, slab leak, gas, A/C condensate). ≈ $2-3.5M rev band.",50,Successor check NEGATIVE — Sean inherited from Mr & Mrs Wedgeworth (2nd-gen succession already done). Whether Sean has his own successor is unclear but family-succession pattern fires.,85,Houston rollup hot. Spring Branch is ordinary Houston metro submarket.,66,B_forward,Wedgeworth Plumbing — Sean (2nd-gen) inherited from Mr & Mrs Wedgeworth. Mid-shop ($2-3.5M rev) with 14+ long-tenured techs. B_forward — bolt-on candidate.,Mid-shop Houston Spring Branch plumbing with strong technician retention. Forward to ETA / Apex / Wrench platform as bolt-on.,medium,0.6
DYZ Plumbing,,Bellaire,Harris,77401,,,https://dyzplumbing.com/,,50,biz_history_proxy,19,19,1,4,False,[],50,19 yrs experience — owner likely 45-55.,65,"Bellaire/Memorial focus, small shop ≈ $500K-1M rev.",50,Mid coasting tells.,80,Houston Bellaire/Memorial premium +3.,58,C_watch,"DYZ Plumbing — 19 yrs Bellaire shop, owner age too young, C_watch.",N/A — borderline.,low,0.4
David Hicks Plumbing,,Houston,Harris,,,,https://davidhicksplumbing.com/,David Hicks,67,biz_history_proxy,30,74,1,8,False,[],82,"David Hicks is 2nd-generation owner of a 74-year operation (founded by father George Hicks 1952). David's MP license M-8529 is a low-number pre-1990 legacy = 35+ yrs MP tenure. Estimated age ~67 derived from family-business history proxy (George founded 1952, David ~30 yr generational gap = born ~1957-65). NO 3rd-gen Hicks visible. Confidence: medium pending Harris CAD OV65 check on personal residence.",78,"74-yr operation in elite River Oaks/Montrose Houston submarket (77019). Multi-licensed (TX Master Plumber + multiple service registrations 1488, 20904, REG12333, REG13208, 15453, M-8529 = multi-trade scope). 50+ Yelp reviews. SBA-financeable size — 'fully stocked trucks' (plural) + commercial+residential services + leak detection/repipe/tankless = solo-to-mid shop ≈ $1-2M revenue band.",75,"Strong coasting tells: (a) NO membership plan or recurring service agreement visible on davidhicksplumbing.com (fetched 2026-05-16); (b) NO true online booking, only 'Request Service' contact form; (c) NO team/about page with named staff or 3rd-gen Hicks; (d) website style is dated minimalist (Wayback-style 2018+ template); (e) phone-first intake. 74-yr-old shop with no modernization stack = classic disengaged-2nd-gen-owner profile.",88,"Houston is top-3 TX rollup metro for plumbing. Wrench Group, Apex Service Partners, ARS, Roto-Rooter Service Co, Service Champions all active in Houston with $1M+ EBITDA bolt-on bids at 7-12× EBITDA. River Oaks/Montrose 77019 ZIP = older 1920s-1960s housing stock = high recurring repair revenue density. Sub-market nudge +3 for older Houston housing. Plumbing rollup is currently HOT (+9 modifier).",80,A_acquire_self,"David Hicks, ~67 yrs old (2nd-gen owner; father George founded the company in 1952; David's MP license M-8529 is pre-1990 = 35+ yrs MP tenure), runs David Hicks Plumbing out of 2023 Fairview St in Houston's River Oaks/Montrose 77019. 74-year-old family-owned shop. NO 3rd-generation Hicks visible on the website (fetched 2026-05-16) or in BBB profile — the line ends at David. Strong coasting tells: no membership plan, no online booking, no team page, dated website. Premium River Oaks submarket = older housing = strong recurring service base. Houston plumbing rollup is hot (Wrench Group, Apex, ARS all paying premium multiples). A_acquire_self pending Harris CAD OV65 verification.","AI dispatch (ServiceTitan migration), true online booking, recurring service-agreement program (Hicks Family Plan $25-30/mo, targeting River Oaks demographic), modern field-service software, automated review generation, technician hiring funnel + sale-leaseback on Fairview St building (CAD lookup). 74-yr River Oaks customer base = the asset; modernization unlocks 2-3× revenue from existing customers + commands premium multiple on exit. Credible 30-50% EBITDA uplift over 18-24 months.",medium,0.7
Best Plumbing,,Houston,Harris,,,,https://www.bestplumbing.net/,,,unverified,,,,,False,[],50,Unverified.,50,Unverified.,35,Unverified.,75,Houston baseline.,49,C_watch,"Best Plumbing Houston — unverified, common name. C_watch.",N/A.,low,0.2
Southern Plumbing,,Houston,Harris,,,,https://southernplumbing.com/,,55,biz_history_proxy,22,22,1,5,False,[],45,Southern Plumbing 22 yrs. Owner age likely 50-60.,65,"Houston metro shop, ≈ $700K-1.5M rev.",45,Some coasting indicators (small website).,75,Houston baseline.,54,C_watch,Southern Plumbing — 22-yr Houston small-mid shop. C_watch.,N/A — not yet retirement-window.,low,0.35
Sunrise Mechanical Services,,Houston,Harris,,,,,,,unverified,,,,,False,[],50,Unverified — no website found.,50,Unverified.,35,Unverified.,75,Houston baseline.,49,C_watch,"Sunrise Mechanical — no website verified, unverified. D_pass without verification.",N/A.,low,0.15
Tony's Plumbing,,Cypress,Harris,,,(832) 890-8449,https://tonysplumbingtx.com/,,60,biz_history_proxy,38,38,1,3,False,[],70,Tony's Plumbing father-son team. 38+ yrs.,60,Cypress/Katy NW Houston small shop.,50,Successor check NEGATIVE: father-son team.,80,Houston rollup hot.,63,B_forward,Tony's Plumbing — father-son small shop. B_forward.,Small-shop NW Houston multi-gen. Forward.,medium,0.5
DeMarco Plumbing,,Spring,Harris,,,,https://demarco-plumbing.com/,Kevin DeMarco,,unverified,,,1,3,False,[],50,Unverified.,50,Unverified.,45,Unverified.,75,TX baseline.,52,C_watch,Unverified candidate. C_watch pending enrichment.,N/A — unverified.,low,0.2
All in The Family Plumbing,,Tomball,Harris,,,(832) 285-7061,https://allinthefamilyplumbing.com/,,55,license_tenure_proxy,19,19,1,5,False,[],60,RMPL 21138 mid-2000s — owner age ~50-60.,65,8-city NW Houston service area.,50,'In the Family' branding implies succession but no confirmed family successor.,80,Houston rollup hot.,61,B_forward,"All in The Family Plumbing — 19-yr operation, 8-city NW Houston, family branding. C_watch / B_forward.",Mid-tenure NW Houston multi-city. Forward.,low,0.4
Daniels Plumbing,,Tomball,Harris,,,,,,65,biz_history_proxy,40,40,1,5,False,[],70,Daniels Plumbing 40 yrs.,65,NW Houston/Tomball shop.,55,Thin online presence.,80,Houston rollup hot.,66,B_forward,Daniels Plumbing — 40 yrs Tomball/NW Houston. B_forward.,Long-tenured NW Houston small-mid shop. Forward.,low,0.45
ABERLE PLUMBING LLC,,Houston,Harris,77049,13141 KINSMAN,(281) 458-1449,,MARK STEVEN ABERLE,65,license_tenure_proxy,37,37,2,8,False,[],68,Steve Aberle founder 1989 + Mark Aberle MP since 2000 (son).,75,37-yr Houston shop.,45,Successor check NEGATIVE: Steve + Mark Aberle father-son.,80,Houston rollup hot.,65,B_forward,Aberle Plumbing — Steve + Mark father-son. B_forward.,Long-tenured Houston family plumbing. Forward.,medium,0.6
JOHNS PLUMBING INC,,Houston,Harris,77084,14506 CROSS JUNCTION ST,(281) 380-8590,,JOHN P ANSELMO,68,license_tenure_proxy,37,44,1,4,False,[],80,John P. Anselmo (President per CorporationWiki) holds TSBPE M-17559 since 1989 = 37+ yrs MP tenure. Estimated age ~68 (MP'd 1989 at age ~30 = born ~1959). Confidence medium — needs Harris CAD OV65 check on personal residence + LinkedIn cross-check for visible-second-Anselmo. Solo-listed RMP.,65,44-yr operation (since 1982). Single RMP + 'family-owned' brand. Small-shop residential service. NW Harris ZIP 77084 (Bear Creek/Copperfield — ordinary suburban submarket). Estimated 2-4 trucks / 4-6 staff ≈ $500K-1.2M revenue band. Below platform-acquirer sweet spot but in SBA / ETA-searcher range. License clean.,85,EXTREME coasting tells: (a) johnsplumbing-houston.com is a TEMPLATE WEBSITE with literal placeholder text 'Say something interesting about your business here' and 'What's a product or service you'd like to show' — owner has invested ZERO in modernization; (b) no team/about page; (c) no membership plan; (d) no online booking; (e) no SMS dispatch tech; (f) phone-only intake. 44-yr-old shop with template website = the textbook 'disengaged solo owner stopped pushing' profile. 5 strong coasting tells stacked.,82,"Houston is top-3 TX rollup metro. NW Harris (Bear Creek/Copperfield) = ordinary suburban submarket, not premium (no +3 nudge), but Houston metro baseline is 0. Sub-shop size ($500K-1M rev) is below national platform-acquirer (Wrench, Apex) bolt-on minimum but is in independent-sponsor / search-fund SBA-7(a) acquisition sweet spot. Plumbing rollup HOT (+9 modifier) but small-shop modifier slightly reduces L4. Score 82.",78,A_acquire_self,"John P. Anselmo, ~68 yrs old (TSBPE M-17559 since 1989 = 37 yrs MP tenure), is the sole listed RMP at John's Plumbing Inc in Houston (14506 Cross Junction St 77084). 44-year-old family-owned operation. The website johnsplumbing-houston.com fetched 2026-05-16 is a TEMPLATE with literal placeholder text 'Say something interesting about your business here' — owner has effectively stopped marketing investment. No team page, no membership plan, no online booking, no SMS dispatch, no team page = 5+ stacked coasting tells. Single named RMP, no visible Anselmo successor in TSBPE search or LinkedIn. Smaller shop size ($500K-1.2M rev estimated) is below platform-acquirer sweet spot but within ETA-searcher SBA-7(a) sweet spot. A_acquire_self pending Harris CAD OV65 verification + final live team-page fetch confirmation.",John's Plumbing has 44 years of customer relationships in NW Houston (Bear Creek / Copperfield / Cypress fringe) but a literal-template website with unfilled placeholder text. The customer database is the asset; modernization unlocks 2-3× revenue from same customer count. Concrete value-add levers: (a) real website + Local SEO = +50-100% lead flow; (b) Housecall Pro / ServiceTitan migration + true online booking = recover leakage from 'shop around' callers; (c) recurring service-agreement program (Anselmo Family Plan $19-25/mo) = $100-300K incremental ARR; (d) automated review generation; (e) hire one second Journeyman / RMP successor to enable owner exit. Credible 50-100% EBITDA growth over 24 months given the extreme modernization gap.,medium,0.55
PEGASUS PLUMBING & UTILITY SERVICES LLC,,Houston,Harris,77087,3023 GOLFCREST BLVD,(713) 988-6061,,MICHAEL BURL MASSINGILL,50,license_tenure_proxy,14,15,1,5,False,[],45,Massingill MP since 2011 = age 40-55.,70,High-end residential focus Houston.,50,Mid coasting tells.,85,Houston rollup hot.,59,C_watch,"Pegasus Plumbing — Massingill 14-yr MP, not yet retirement window. C_watch.",N/A — too young.,medium,0.55
GILBERT PLUMBING CO LP,,Houston,Harris,77092,4118 SOUTHERLAND RD,(713) 201-2685,,JACK L GILBERT,65,biz_history_proxy,36,88,4,9,False,[],72,Gilbert 4-gen Pat → Jack → Patrick. Jack Tex Tech 1988 grad = age 60.,90,88-yr Houston operation. $8.7M revenue. 9 employees on books.,35,Successor check NEGATIVE: 4-gen Gilbert family.,92,Houston rollup hot.,68,B_forward,Gilbert Plumbing — 4-gen Gilbert family. Platform-scale. B_forward.,Platform-scale Houston multi-gen. Forward.,high,0.7
DOLPHIN PLUMBING,,Houston,Harris,77089,10511 KIRKHILL,(281) 924-4154,,EUSEBIO MUNOZ,68,license_tenure_proxy,33,34,2,4,False,[],75,Eusebio Munoz MP since 1992 + Mario Munoz at company.,65,"SE Harris shop, small-mid.",50,Successor check NEGATIVE: same-surname Munoz on LinkedIn.,80,Houston rollup hot.,66,B_forward,Dolphin Plumbing — Eusebio + Mario Munoz family succession. B_forward.,Houston multi-gen Munoz. Forward.,medium,0.5
PAZ PLUMBING,,South Houston,Harris,77587,,(832) 731-1989,,JORGE ANIBAL DE PAZ,67,license_tenure_proxy,32,32,1,3,False,[],75,Jorge De Paz MP since 1993.,55,South Houston small shop.,50,No website found. Cap confidence.,75,Houston baseline.,62,B_forward,"Paz Plumbing — 32-yr South Houston shop, no website. C_watch.",N/A — thin data.,low,0.3
W MCLAIN PLUMBING LLC,,Pasadena,Harris,77503,2710 PRESTON,(281) 802-4615,,WILLIAM DAVID MCLAIN,72,license_tenure_proxy,40,40,1,3,False,[],80,W McLain MP M-9313 legacy pre-1990.,55,Pasadena Houston metro older housing.,50,No website. Strong age proxy but cap confidence.,75,Houston baseline + Pasadena older housing +3.,64,B_forward,"W McLain Plumbing — legacy MP, Pasadena older housing. C_watch — no website caps to C tier.",N/A — thin data.,low,0.3
